source_1_set_power_[W],set_pressure_[mTorr],qcm_1_mass_rate_[ng/cm2s],qcm_1_mass_rate_[ng/cm2s]_error,qcm_2_mass_rate_[ng/cm2s],qcm_2_mass_rate_[ng/cm2s]_error,qcm_3_mass_rate_[ng/cm2s],qcm_3_mass_rate_[ng/cm2s]_error,source_1_voltage_[V]_mean,source_1_voltage_[V]_std,n,n_error,A,A_error,synthetic
16,40,2.223600306,0.059544489,0.341714589,0.060199192,0.204932849,0.044711196,165.064,0.109,4.234943875,1.807329067,2087.55618,1790.662974,0
16,43,1.40270576,0.02436476,0.030399449,0.052585225,0.524164119,0.026491776,163.749,0.123,1.3177749,0.753808717,751.7263135,393.8971988,0
19,1,3.464913493,0.06864352,0.269479404,0.042945032,1.620371937,0.044291734,886.1646667,0.636333333,0.34421389,0.572531843,3238.787715,970.6202667,1
19,4,12.28493937,0.074308243,0.915095133,0.056501589,4.402149536,0.052709064,335.006,25.627,1.021868053,0.344630635,8202.775886,1530.70312,0
19,7,15.89067033,0.163710458,1.271937946,0.095632648,4.824279954,0.095587438,215.94,0.39,1.570765191,0.109341193,9655.575414,595.3220377,0
19,10,13.46195487,0.09028596,1.212060375,0.042804643,3.944439455,0.046081223,202.338,0.286,1.601034424,0.009862179,8382.391792,45.58444747,0
19,13,10.60614693,0.094847361,0.467391039,0.056320893,2.41544128,0.05162294,193.178,0.273,3.05028312,0.140391698,5163.459554,533.5534927,0
19,16,9.309643998,0.059456606,0.389526538,0.038909444,1.755422129,0.037066566,186.997,0.296,3.826624616,0.002948473,4595.212764,10.48258033,0
19,19,7.030973418,0.070827775,0.163193325,0.03244312,1.397750117,0.081933496,181.981,0.134,3.888801129,0.275392492,3039.361997,762.7519362,0
19,22,5.336533727,0.151183075,0.11657875,0.061755377,0.953602419,0.06683602,178.593,0.148,4.358260458,0.228361479,2323.503867,490.1261839,0
19,25,5.9189528,0.04214689,0.50877971,0.05556929,1.54690491,0.068801811,175.858,0.268,2.048276988,0.112018324,3499.344123,222.9041646,0
19,28,4.240808534,0.049197104,0.32726049,0.055319177,0.925155204,0.067409132,173.1135,0.1355,2.734740267,0.2699455,2390.290755,308.8351497,1
19,31,3.725385189,0.070345961,-0.260065785,0.05768071,0.762490675,0.034752006,171.502,0.473,5.287609998,1.691626108,-188.3839484,3432.454146,0
19,34,3.181997939,0.045802374,0.245596893,0.054671318,0.5533436,0.039925078,169.4245,0.136,3.580890208,0.779305348,1730.119531,804.1199049,1
19,37,2.937098135,0.044586939,0.308789326,0.03096843,0.342345224,0.057412183,168.0805,0.1055,4.93432421,1.028890429,2403.775177,1457.460877,1
19,40,3.054455258,0.064208241,-0.09742596,0.043138751,0.370845399,0.04040235,166.076,1.076,7.35203294,1.537397137,-138.1380817,2812.24913,0
19,43,1.905653649,0.021612053,-0.002935397,0.053462561,0.015631137,0.038219435,165.451,0.206,20.17196108,0.709670599,-9503.61799,18961.48052,0
22,1,3.566726901,0.064757327,0.17055931,0.043928788,1.55494062,0.043548444,886.186,0.754,0.516317756,0.715153171,2691.776831,1108.557851,0
22,4,15.10023045,0.093675988,1.023908479,0.060973839,5.333247543,0.059603682,324.366,24.386,1.13179391,0.378320014,9643.482099,2028.647108,0
22,7,18.45833277,0.168980445,1.230807833,0.067091251,5.890824198,0.089701753,214.252,0.454,1.522540566,0.244340162,10884.83395,1720.434216,1
22,10,16.32844981,0.101155816,0.952235629,0.04713536,4.611521369,0.055049044,201.26,0.749,2.055242537,0.20784945,8772.307161,1171.329254,0
22,13,14.26762807,0.107013118,0.711003196,0.032065744,3.421182897,0.051337535,193.402,0.21,2.777454938,0.128190602,7156.467561,642.3754558,0
22,16,11.44011981,0.072781343,0.615415876,0.049551097,2.53369352,0.042475495,187.338,0.24,3.034622768,0.011222041,5854.526965,45.3799596,0
22,19,9.513128403,0.108669656,-0.243733552,0.057860478,1.780475437,0.081868388,183.137,0.329,4.957921451,0.963868836,2061.074851,4442.548086,0
22,22,8.26705228,0.07671321,0.452462222,0.071321348,1.270409997,0.059955323,179.877,0.373,4.412549182,0.376207229,4722.251478,1236.646667,0
22,25,5.264563787,0.055410689,0.120494335,0.051506008,0.554031334,0.041905175,176.41,0.145,6.566081972,0.170442707,2989.367387,530.4331041,0
22,28,4.974862699,0.067000597,0.257731471,0.055896896,1.062527962,0.061160831,174.196,0.149,3.200064685,0.002892723,2530.00678,5.157365213,0
22,31,3.984105033,0.067509123,-0.092851678,0.053589893,0.630677448,0.086764608,172.277,0.108,5.748291372,0.930506618,752.5088451,2037.818972,0
22,34,3.753400894,0.031075548,0.026229959,0.06635741,0.565808692,0.035091596,170.553,0.123,5.364106239,0.380607525,1447.637561,658.7714298,0
22,37,3.125994521,0.032536788,0.108579867,0.033215696,0.240855324,0.069924753,169.386,0.109,7.47887008,0.676900919,2622.069834,1552.112117,0
22,40,2.867095143,0.024200386,0.354924419,0.065654067,0.463791705,0.044122876,168.267,0.149,3.184564665,1.123413143,2012.372635,1047.344505,0
22,43,2.602058978,0.024458405,0.248134183,0.050422968,0.485191916,0.039849803,166.987,0.186,3.113037497,0.623698654,1618.182619,547.6722474,0
25,1,4.080569385,0.029950989,0.421918635,0.070912308,1.802512928,0.034128314,886.262,0.992,0.067966772,0.400088994,4405.265592,845.2694563,0
25,4,18.66407511,0.120885227,1.731233264,0.048239983,6.952056639,0.062315809,303.734,39.361,0.733162463,0.255390343,14163.86966,1878.691817,0
25,7,21.02599522,0.174250432,1.18967772,0.038549854,6.957368442,0.083816068,212.564,0.518,1.474315942,0.379339131,12114.09248,2845.546394,0
25,10,18.60996603,0.110147135,0.868697602,0.057108226,5.022751956,0.05323846,201.401,0.396,2.35443397,0.277333561,9348.768092,1738.365671,0
25,13,15.96924526,0.091666129,0.71823947,0.049663465,3.667599059,0.045672302,193.552,0.207,3.005647848,0.138349487,7810.431863,788.8266735,0
25,16,12.90166004,0.098984219,0.701510082,0.043310695,3.032665129,0.041616975,187.973,0.236,2.799090269,0.064091798,6609.531875,286.8259383,0
25,19,10.71426045,0.098940425,0.411351528,0.049246706,1.67920947,0.029991414,183.594,0.263,4.616927352,0.122073872,5519.311854,547.1385544,0
25,22,8.569484606,0.076398784,0.394451613,0.062133627,1.669620683,0.075455545,180.387,0.279,3.636486787,0.024180617,4296.866817,77.59174199,0
25,25,6.936680378,0.051673549,-0.061850951,0.061070591,1.06214925,0.032433621,178.028,0.392,5.612791254,0.731626094,2001.859847,2374.844315,0
25,28,5.891235911,0.041253141,0.551995486,0.039975587,1.046751046,0.052446995,175.535,0.468,3.29924492,0.614409433,3694.738254,1350.988838,0
25,31,5.364634066,0.040083568,0.225739396,0.051168877,0.924974437,0.044365734,174.006,0.454,4.176823539,0.086125925,2723.99676,185.0886136,0
25,34,4.911111954,0.038863345,0.443102685,0.063117798,0.841051157,0.065889355,172.187,0.413,3.473237714,0.683893585,3083.418938,1164.303271,0
25,37,4.013562301,0.045925269,0.243180192,0.037291567,0.507980554,0.063385836,170.8636667,0.287,6.094583831,0.635352667,2933.057063,1432.281438,1
25,40,3.673653401,0.035958931,0.355027228,0.049124043,0.637789936,0.046912778,170.332,0.434,3.336201184,0.666835507,2342.461389,920.0739118,0
25,43,2.284424512,0.159851292,0.081723949,0.089320436,-0.738529708,0.150222639,168.698,0.313,29.99999508,22.54148483,34882895.86,53038032.93,0
28,1,3.957108063,0.067338902,0.502216049,0.036356854,1.483591139,0.056282341,886.318,0.835,0.440790534,0.051643327,3590.933209,86.0195317,0
28,4,25.47775422,0.176802762,2.11176845,0.053277213,9.230362511,0.064025804,243.483,17.529,0.91186564,0.296555443,17887.26279,2789.861368,0
28,7,24.03454744,0.148234926,1.621864701,0.041870596,7.811041163,0.074646108,212.343,0.808,1.440596713,0.278093271,14379.47408,2371.286056,0
28,10,21.41875034,0.134924176,1.14059732,0.014544896,5.850922951,0.058246629,200.954,0.319,2.23600118,0.219675869,11135.21212,1628.501216,0
28,13,17.46072332,0.112440173,0.545773224,0.03859251,4.223548105,0.045740875,193.533,0.22,2.970434789,0.341774171,7937.543562,2064.451176,0
28,16,14.37172472,0.108340827,0.281947791,0.047732119,2.816215821,0.04225935,188.284,0.206,4.003539157,0.327475039,6051.971924,1799.137677,0
28,19,11.7825062,0.097478809,0.60900481,0.058918859,1.975554214,0.069044527,184.046,0.304,4.131947077,0.234047169,6378.440599,1108.255687,0
28,22,10.02707032,0.065581252,-0.183269133,0.046227357,1.874071686,0.063596981,181.032,0.372,4.834818676,0.84438958,2584.501814,3983.529657,0
28,25,8.904110588,0.060974594,0.438533406,0.068007408,1.270458848,0.035863541,179.037,0.421,4.789527765,0.355702593,5133.006673,1405.659445,0
28,28,7.389822276,0.083605863,0.166357721,0.060543892,1.502429054,0.0671755,176.676,0.377,3.805107983,0.29979019,3170.933675,866.062384,0
28,31,6.615147508,0.094091342,0.739335791,0.111091649,2.247153951,0.158561704,175.529,0.615,0.892532625,0.017608595,4973.066251,43.42302146,0
28,34,6.197088914,0.058838788,0.423371431,0.044867787,0.901309437,0.07686715,174.002,0.454,4.383900923,0.628451179,3867.96184,1508.580757,0
28,37,4.90113008,0.059313751,0.377780517,0.041367439,0.775105784,0.056846918,172.3413333,0.465,4.710297581,0.593804416,3244.044292,1312.450759,1
28,40,4.215176477,0.036185139,0.208150921,0.052380322,0.527279568,0.042556284,171.553,0.464,5.483172717,0.358030482,2494.737298,544.1729111,1
28,43,4.134880712,0.116612023,0.737814767,0.046717914,0.944801315,0.072580482,170.23,0.448,1.516163508,1.016840309,3234.52806,1333.701645,0
31,1,3.99403802,0.064439678,0.33581408,0.05226638,1.408908514,0.036937438,886.31,0.761,0.996702472,0.249312786,2746.22262,371.7768662,0
31,4,29.46065152,0.400630282,2.256784927,0.136984512,10.57472431,0.225836213,235.057,0.365,0.997846238,0.33100714,19898.62718,3541.347001,0
31,7,27.95500095,0.321454433,1.802221184,0.069774434,8.736668643,0.107879871,211.544,0.423,1.613760787,0.260315661,16122.10879,2549.178317,0
