source_1_set_power_[W],set_pressure_[mTorr],qcm_1_mass_rate_[ng/cm2s],qcm_1_mass_rate_[ng/cm2s]_error,qcm_2_mass_rate_[ng/cm2s],qcm_2_mass_rate_[ng/cm2s]_error,qcm_3_mass_rate_[ng/cm2s],qcm_3_mass_rate_[ng/cm2s]_error,source_1_voltage_[V]_mean,source_1_voltage_[V]_std,n,n_error,A,A_error,synthetic
1,1,-0.203670144,0.019058343,-0.096962799,0.05119014,-0.096054989,0.045688343,0.439,0.147,6.16E-06,0.739862354,-436.4580654,236.1349022,0
1,4,0.277270141,0.041003178,-0.066055637,0.034725672,0.232812163,0.047971042,0.418,0.114,6.15909E-06,3.207755923,173.2137097,515.2946869,0
1,7,0.681537452,0.031561102,0.163817007,0.065932744,0.39861404,0.037411755,0.436,0.152,6.15909E-06,0.35544775,1113.423257,201.6941382,0
1,10,0.340468577,0.035841911,-0.187037109,0.040601743,0.101976987,0.047794548,0.405,0.158,18.91475674,945.7378368,-422616.185,610774.0321,0
1,13,0.015811786,0.025700932,-0.07515246,0.072014352,-0.125609086,0.080714051,0.374,0.137,6.15909E-06,3.110186884,-319.1328353,255.0797649,0
1,16,0.880661424,0.049458091,-0.366247486,0.044911733,0.081346809,0.048776567,0.417,0.178,29.99999515,0,-163874820.5,232163463.2,0
1,19,0.484729866,0.070012182,-0.427203117,0.064194167,-0.086617927,0.047674798,0.314,0.164,6.15909E-06,133.7059037,-1020.000275,1712.100978,0
1,22,0.732093397,0.052446601,-0.093249056,0.059609075,0.274962568,0.061176305,0.405,0.152,2.730536787,2.886960009,64.09569623,626.1414707,0
1,25,0.723706073,0.065974404,0.272747919,0.050728969,0.310995656,0.047409253,0.392,0.159,6.15909E-06,0.563227785,1330.356117,590.3692784,0
1,28,0.737574669,0.045500892,0.167731385,0.050263473,0.228935921,0.079430473,0.368,0.133,0.217481077,0.806453856,869.9624781,257.3465274,0
1,31,0.488559063,0.0397005,-0.220445464,0.041308395,0.05628149,0.047801616,0.472,0.161,29.99999492,0,-98619668.62,139751962.6,0
1,34,0.575728614,0.071104264,0.411606689,0.052888711,0.184269463,0.065715862,0.384,0.17,6.15909E-06,1.61153539,1509.496942,1243.927211,0
1,37,0.762861477,0.080661634,0.121201705,0.052105909,0.118246085,0.031407753,0.396,0.165,2.834234682,1.527919052,583.0718234,356.9287921,0
1,40,0.797631296,0.035302881,0.505081274,0.050468093,0.393861616,0.038270302,0.465,0.114,6.15909E-06,1.034122189,2058.740186,1381.537334,0
1,43,0.77931717,0.066203106,0.127068694,0.056940505,0.321273796,0.044371315,0.414,0.117,6.15909E-06,0.026785561,978.0070084,23.00510024,0
4,1,0.595194953,0.055117125,0.135394426,0.052613004,0.220629121,0.06861059,437.689,9.903,6.15909E-06,0.339151202,823.4195321,179.2353782,0
4,4,1.654261095,0.063444671,0.16097983,0.057052106,0.541146856,0.041513997,325.314,7.02,1.147190499,0.068737594,1131.88198,40.90566304,0
4,7,2.600514767,0.025038067,0.098516086,0.066914227,0.92253348,0.036340081,222.422,3.435,1.378407563,0.627454246,1443.946264,558.2789701,0
4,10,2.519997518,0.024908659,0.320320636,0.042088431,0.782974345,0.037464894,195.769,0.204,1.057010483,0.198046766,1880.410645,181.6139648,0
4,13,7.027851869,0.059801853,-0.208885357,0.056020662,1.679959111,0.05353609,161.811,17.004,3.832160818,1.036818937,1793.58673,3043.016204,0
4,16,5.583170671,0.040405599,0.502453993,0.05602367,1.423495113,0.062256616,160.86,10.666,2.092707343,0.171999965,3337.347203,327.9912737,0
4,19,4.841337376,0.041835021,0.164005551,0.047232288,0.891265189,0.059853426,164.717,8.196,4.043626707,0.079620641,2288.478997,150.3293673,0
4,22,0.937069146,0.034911302,0.092880322,0.06767381,0.465650368,0.060696818,166.267,0.271,6.15909E-06,0.403786035,1097.562986,276.7252795,0
4,25,3.656289526,0.033128439,0.011541576,0.048887682,0.751377717,0.03601953,157.86,9.247,4.047291594,0.608153015,1325.240574,839.6720386,0
4,28,1.139114212,0.023322927,0.445504087,0.050992181,0.170624916,0.078243395,159.806,0.272,0.346258185,2.963346611,1558.419601,1150.453582,0
4,31,2.734535945,0.02828649,0.312257873,0.037579368,0.640867665,0.097187441,155.66,8.417,2.117412776,0.460517705,1763.468225,434.7285476,0
4,34,2.828520764,0.032335302,-0.062337578,0.012621912,0.047819048,0.041560173,155.919,8.843,21.68534255,2168.534255,-514606.8355,747125.382,0
4,37,0.416188507,0.028152056,0.255570447,0.058020091,0.249188235,0.056101908,153.802,0.313,6.15909E-06,0.916712432,1097.204263,665.9706236,0
4,40,1.963431983,0.027399136,0.099823504,0.044762337,0.042030728,0.064623706,156.134,5.74,10.6437384,2.230954448,6124.501129,7329.720065,0
4,43,2.578404564,0.030842079,0.216927525,0.048847467,0.434181286,0.041499162,153.44,8.05,3.619516052,0.584328342,1596.27153,580.6933352,0
7,1,0.508653046,0.071069946,-0.07247623,0.041920265,0.370243961,0.081702313,511.706,8.651,6.15909E-06,2.416454784,389.2286475,711.732135,0
7,4,3.507891961,0.034873239,0.371936945,0.045914494,1.036628573,0.077994455,379.21,21.792,1.418176089,0.119593939,2336.37326,144.3755418,0
7,7,4.762603441,0.065708613,0.093413334,0.052883057,1.440003185,0.061897872,214.605,0.216,2.192141884,0.65710009,2161.166292,1033.865595,0
7,10,4.298780123,0.032723101,0.135627326,0.037794816,1.280552279,0.048348122,197.407,0.137,2.127527731,0.489883496,2068.315258,743.9713029,0
7,13,3.438157891,0.065975795,0.146326029,0.073552707,0.797713007,0.045530303,186.152,0.224,2.99600257,0.172909695,1660.493374,212.7211147,0
7,16,2.333169994,0.02776529,0.073795029,0.054748989,0.614167482,0.036667556,178.666,0.31,2.623627189,0.410400209,1077.665138,323.6102557,0
7,19,1.877750746,0.033542069,0.008277046,0.04375809,0.029009093,0.072549389,173.801,0.298,15.79617207,0,5844.872293,5421.708892,0
7,22,1.316366942,0.053624525,-0.121432006,0.050762023,0.212384511,0.0673075,168.977,0.274,7.261173525,4.519478962,-1026.986798,2771.498374,0
7,25,5.095916125,0.03714571,0.458781033,0.049935858,1.145739992,0.037723785,160.429,9.823,2.534408232,0.329717668,3024.073277,560.7984022,0
7,28,0.94895784,0.062887869,0.227188636,0.04403743,0.180794095,0.044612161,163.481,0.405,1.369152056,1.741531181,849.5059815,499.1640825,0
7,31,1.457345569,0.118678518,-0.026232823,0.095434435,0.083905356,0.118012779,161.009,0.372,11.02318525,1.555732606,-934.9681306,2948.24544,0
7,34,0.620273179,0.069367715,0.057991453,0.076775574,0.166452533,0.053178442,159.167,0.398,1.875832079,0.140278694,379.7656109,29.71377842,0
7,37,0.494910544,0.024175099,0.370175165,0.050529791,0.190274878,0.037683708,158.003,0.397,6.15909E-06,1.468723717,1373.014009,1106.561765,0
7,40,2.642395903,0.027381902,0.324123702,0.048532677,0.649428065,0.040607969,155.339,9.601,1.869583989,0.464214494,1761.929038,423.3877357,0
7,43,0.787605563,0.065644007,0.533113043,0.04174324,0.274283443,0.035133048,155.252,0.31,6.15909E-06,1.435677754,2008.131939,1572.715811,0
10,1,3.11983588,0.060964,0.372654407,0.035115848,1.116007172,0.051728186,768.652,8.844,0.65538433,0.03500348,2564.66389,43.13584282,0
10,4,5.776592422,0.038155203,0.738168957,0.028470201,2.259774,0.037768564,378.008,19.38,0.294774869,0.103134786,5635.904915,268.080283,0
10,7,7.597439888,0.049757012,0.723017783,0.047105911,2.406362148,0.082726524,214.251,0.156,1.279040491,0.044952246,5037.35292,120.6973155,0
