PRR (Hz),PW (us),pos Delay (us),pos PW (us),pos Setpoint (V),y1,dep_rate_A_per_s,Ipk (A),BatchNr,FitNr
4665.125419239,21.5719850613,18.6290828311,17.989296984,82.8871371737,0.8080013414,0.5840540736148931,0.0791343819,1,
795.993572101,7.9775513802,19.4940191801,4.2678335682,2.9637563974,0.3164789842,0.22876303598115957,0.4428681735,1,
4588.8523418456,19.5534332749,38.8910055007,39.2386529967,6.9376666099,0.9039994997,0.6534451903641486,0.083117115,1,
1024.8530648649,15.7665351871,4.6251240317,37.6609619334,98.300683964,0.5516896373,0.39878223404665736,0.4307468854,1,
890.5984599143,34.8331064917,35.0796006471,14.9423871189,94.3047042936,0.909377785,0.65733281935383,0.3329077617,1,
819.5358309895,19.3642142182,24.8675754634,35.6862577423,34.2144055292,0.6276744538,0.45370694683588436,0.5034813622,1,
3809.8874367774,6.9216623344,3.6827674424,4.4391703978,30.3425992839,0.5646318097,0.40813732805992864,0.1764555884,1,
4980.7782072574,7.0394002367,24.4235444739,12.8769211844,10.8683587983,0.5476183742,0.3958393703699796,0.1402634634,1,
2455.959296599,45.7230080478,31.4413891337,16.6406350955,3.4224352799,0.9205391179,0.6654006549046002,0.0812121242,1,
619.5966202766,58.6291892966,28.7671038397,36.1376088113,80.4376211949,0.750480706,0.542475972563628,0.255849435,1,
668.5769695789,36.6942490963,3.2470738865,4.8193929344,3.4486453049,0.7100794752,0.5132724276946176,0.4203581739,1,
3407.7855058014,8.8039505295,37.8516766857,10.3607529029,88.6724923737,0.5858631869,0.42348417429242224,0.1821698858,1,
2391.8335463852,28.5333601292,6.0813326584,2.6961875707,99.9098370783,0.8895007999,0.6429649791981161,0.1374926904,1,
3134.7371127456,16.0341806477,2.2163214847,35.0290840119,63.8596277684,0.660612559,0.477515860922442,0.1522116625,1,
4005.8333020657,6.3194421539,37.7484557414,34.0066254139,87.7871592529,0.3779413354,0.2731903589978652,0.1761080608,1,
1409.8133955076,59.6686712182,2.7039245526,4.8842607133,35.0132349751,0.7990692019,0.5775975837629922,0.1134215162,1,
754.4159702957,76.1746401619,38.6068591024,13.4554049,96.9754755497,0.8090866353,0.5848385652869814,0.1539439017,1,
724.1551972926,23.9056001324,17.0517747137,2.817697525,0.112409424,0.6545724301,0.4731498262286238,0.5117039312,1,
1166.3991697133,35.2492267359,3.0209946791,36.0387712345,52.8144638985,0.6550214463,0.4734743922005994,0.2558511221,1,
1221.8522541225,6.8094704393,4.3464865368,36.250805445,4.3158439919,0.3220820461,0.2328131420388318,0.3536851847,1,
1295.6398427486,44.4428315619,5.0779058733,1.5751205012,91.7262896895,0.909497127,0.6574190842864259,0.177320021,1,
4825.281342864,6.9576817425,15.0903188246,20.5653531104,97.2252151929,0.4996460911,0.3611631811985418,0.1416481751,1,
1025.0568576157,12.8348986851,36.8097393168,2.0035487786,0.5273348652,0.5279915269,0.3816523393213422,0.4870311631,1,
4172.6198881865,14.0177923068,38.2730230694,0.4076386988,99.4266929105,0.7412251662,0.5357857166856755,0.1206953012,1,
2513.2331486791,5.3333734861,38.4295214992,26.9733484834,1.6660485417,0.3074007545,0.22220094658127099,0.2200868271,1,
639.2985463142,48.5113756731,3.5109569933,33.9753266796,74.8422688805,1.0069719062,0.7278775587337956,0.3142914201,1,
1276.144971326,26.5849749651,33.5926570077,31.1436058208,99.9784872867,0.7176945226,0.5187768733271387,0.2878843884,1,
1128.6135669798,33.9574128715,27.8948158836,30.9204567969,8.9579094201,0.9926366383,0.7175154823554954,0.2701351786,1,
857.6450057328,84.102673973,4.5645553167,33.9088163152,34.8269330338,0.6604567909,0.4774032658205742,0.1109975959,1,
693.8078660518,63.8527419837,1.8770379336,31.1239781976,4.6670508571,0.7852804626,0.5676305590248587,0.2037287397,1,
637.9953578115,55.5460152496,39.312746156,15.1134192944,58.3097524941,0.7824014665,0.565549511241927,0.268837855,1,
958.691579476,52.1873028297,26.2790804002,0.6218648702,88.0215887912,0.7856934783,0.5679291024674155,0.2011313931,1,
1303.6628361791,39.7835888341,39.0323841348,35.5367726088,75.3161839209,0.8938877453,0.6461360300371614,0.2027752321,1,
2043.2603105764,10.1010105496,2.4404422148,1.5703279307,90.7061592988,0.4964433049,0.3588480856273062,0.2792265665,1,
